Orcid,Année,Titre,Type,Source,Auteurs,contact
0000-0002-6322-6352,2020,Soil scarification favors natural regeneration of Pinus pinea in Lebanon forests: Evidences from field and laboratory experiments,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85077704241&partnerID=MN8TOARS,"['Nakhoul, J.', 'Santonja, M.', 'Fernandez, C.', 'Greff, S.', 'Bousquet-Mélou, A.', 'Dupouyet, S.', 'Nemer, N.', 'Kattar, S.', 'Abboud, J.', 'Prévosto, B.']",Mathieu Santonja
0000-0002-6322-6352,2020,"Transdisciplinary Bioblitz: Rapid biotic and abiotic inventory allows studying environmental changes over 60 years at the Biological Field Station of Paimpont (Brittany, France) and opens new interdisciplinary research opportunities",journal-article,,"['Annegret Nicolai', 'Muriel Guernion', 'Sarah Guillocheau', 'Kevin Hoeffner', 'Pascaline Le Gouar', 'Nelly Ménard', 'Christophe Piscart', 'Dominique Vallet', 'Morgane Hervé', 'Elora Benezeth', 'Hughes Chedanne', 'Jérémie Blémus', 'Philippe Vernon', 'Daniel Cylly', 'Hoël Hotte', 'Grégoire Loïs', 'Barbara Mai', 'Grégoire Perez', 'Tiphaine Ouisse', 'Cécile Monard', 'Claudia Wiegand', 'Jean-Pierre Caudal', 'Alain Butet', 'Maxime Dahirel', 'Lou Barbe', 'Manon Balbi', 'Valérie Briand', 'Myriam Bormans', 'Maryvonne Charrier', 'Guillaume Bouger', 'Vincent Jung', 'Cécile Le Lann', 'Alexandrine Pannard', 'Julien Petillon', 'Yann Rantier', 'Dominique Marguerie', 'Kevin Tougeron', 'Pierre Devogel', 'Sébastien Dugravot', 'Thomas Dubos', 'Maël Garrin', 'Mathurin Carnet', 'Clément Gouraud', 'Audrey Chambet', 'Joël Esnault', 'Maxime Poupelin', 'Erik Welk', 'Astrid Bütof', 'Glenn Dubois', 'Guillaume Humbert', 'Odile Marie-Réau', 'Olivier Norvez', 'Gaëlle Richard', 'Benoît Froger', 'Céline Rochais', 'Martin Potthoff', 'Khaoula Ayati', 'Alain Bellido', 'Alain Rissel', 'Mathieu Santonja', 'Jacques-Olivier Farcy', 'Eric Collias', 'Lina Sene', 'Daniel Cluzeau', 'Régis Supper']",Mathieu Santonja
0000-0002-6322-6352,2019,Do wind turbines impact plant community properties in mountain region?,journal-article,,"['Ileana Pătru-Stupariu', 'Ana-Maria Calotă', 'Mathieu Santonja', 'Paulina Anastasiu', 'Ioana Stoicescu', 'Iovu Adrian Biriş', 'Mihai-Sorin Stupariu', 'Alexandre Buttler']",Mathieu Santonja
0000-0002-6322-6352,2019,Do wind turbines impact plant community properties in mountain region?,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85070669608&partnerID=MN8TOARS,"['Pătru-Stupariu, I.', 'Calotă, A.-M.', 'Santonja, M.', 'Anastasiu, P.', 'Stoicescu, I.', 'Biriş, I.A.', 'Stupariu, M.-S.', 'Buttler, A.']",Mathieu Santonja
0000-0002-6322-6352,2019,Allelopathic effects of volatile organic compounds released from            Pinus halepensis            needles and roots,journal-article,,"['Mathieu Santonja', 'Anne Bousquet‐Mélou', 'Stéphane Greff', 'Elena Ormeño', 'Catherine Fernandez']",Mathieu Santonja
0000-0002-6322-6352,2019,Allelopathic effects of volatile organic compounds released from Pinus halepensis needles and roots,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85069896619&partnerID=MN8TOARS,"['Santonja, M.', 'Bousquet-Mélou, A.', 'Greff, S.', 'Ormeño, E.', 'Fernandez, C.']",Mathieu Santonja
0000-0002-6322-6352,2019,Drivers of soil carbon stabilization in oil palm plantations,journal-article,,"['Johanna Rüegg', 'Juan Carlos Quezada', 'Mathieu Santonja', 'Jaboury Ghazoul', 'Yakov Kuzyakov', 'Alexandre Buttler', 'Thomas Guillaume']",Mathieu Santonja
0000-0002-6322-6352,2019,Drivers of soil carbon stabilization in oil palm plantations,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85069708965&partnerID=MN8TOARS,"['Rüegg, J.', 'Quezada, J.C.', 'Santonja, M.', 'Ghazoul, J.', 'Kuzyakov, Y.', 'Buttler, A.', 'Guillaume, T.']",Mathieu Santonja
0000-0002-6322-6352,2019,"Long-term effects of crop succession, soil tillage and climate on wheat yield and soil properties",journal-article,,"['Paula Sanginés de Cárcer', 'Sokrat Sinaj', 'Mathieu Santonja', 'Dario Fossati', 'Bernard Jeangros']",Mathieu Santonja
0000-0002-6322-6352,2019,"Long-term effects of crop succession, soil tillage and climate on wheat yield and soil properties",journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85063226391&partnerID=MN8TOARS,"['de Cárcer, P.S.', 'Sinaj, S.', 'Santonja, M.', 'Fossati, D.', 'Jeangros, B.']",Mathieu Santonja
0000-0002-6322-6352,2019,Leaf Nutrients and Macroinvertebrates Control Litter Mixing Effects on Decomposition in Temperate Streams,journal-article,,"['Mathieu Santonja', 'Héctor Rodríguez-Pérez', 'Nathalie Le Bris', 'Christophe Piscart']",Mathieu Santonja
0000-0002-6322-6352,2019,Leaf Nutrients and Macroinvertebrates Control Litter Mixing Effects on Decomposition in Temperate Streams,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85068002044&partnerID=MN8TOARS,"['Santonja, M.', 'Rodríguez-Pérez, H.', 'Le Bris, N.', 'Piscart, C.']",Mathieu Santonja
