Contact,Fonction,Sigle structure
Olivier Roupsard,DIR,Eco&Sols
Yann Nouvellon,DIR,Eco&Sols
Vincent Blanfort,DIR,SELMET
Laurent Kergoat,DIR,GET
Chloé Ollivier,CR,HSM
Gilles Boulet,DIR,CESBIO
Joannès Guillemot,CR,Eco&Sols
Nicolas Barbier,CR,AMAP
Ivan Cornut,CR,Eco&Sols
Emmanuel Tillard,CR,SELMET
Ibrahim Maïnassara,INGE,HSM
Damien Raclot,DIR,LISAH
Taeken Wijmer,POSTDOC,HSM
Jean-Philippe Jenny,DIR,CARRTEL
Manon Boulay,INGE,LCE
Olivia Desgué-Itier,INGE,CARRTEL
Marttiina Rentala,POSTDOC,EDYTEM
Valentin Essert,INGE,LCE
Ronny Lauerwald,INGE,ECOSYS
Théo Mazure,DOC,CARRTEL
Viet Tran-Khac,INGE,CARRTEL
Justine Frison,DOC,LCE
Didier Jezequel,MAITRE_DE_CONF,CARRTEL
Hélène Masclaux,MAITRE_DE_CONF,LCE
Laurent Millet,DIR,LCE
Jérôme Gaillardet,DIR,IPGP
Fabien Arnaud,DIR,EDYTEM
David Gateuille,PROFESSEUR,EDYTEM
Etienne Dambrine,DIR,CARRTEL
David Etienne,PROFESSEUR,EDYTEM
Florence Mazier,CR,GEODE
Isabelle Domaizon,DIR,CARRTEL
Julien Azuara,MAITRE_DE_CONF,LCE
Mathieu Dellinger,CR,EDYTEM
Patrick Durand,DIR,SAS
Philippe Ciais,DIR,LSCE
Pierre Sabatier,MAITRE_DE_CONF,EDYTEM
Valérie Verneaux,MAITRE_DE_CONF,LCE
Ahmed-Adam Ali,CR,ISEM
Anaëlle Simonneau,PROFESSEUR,ISTO
Charline Giguet-Covex,CR,EDYTEM
Emilie Lyautey,PROFESSEUR,CARRTEL
Erwan Messager,CR,EDYTEM
Georges-Marie Saulnier,DIR,EDYTEM
Jérôme Poulenard,PROFESSEUR,EDYTEM
Pierre Regnier,DIR,BMES
Vincent Chanudet,INGE,EDF
Fanny Colas,MAITRE_DE_CONF,LEHNA
Zhu Liya,POSTDOC,ECOSYS
Florent Arthaud,MAITRE_DE_CONF,CARRTEL
Gwenaël Abril,DIR,BOREA
Vincent Vantrepotte,CR,LOG
Marie Arnaud,CR,iEES
Aurélia Mouret,PROFESSEUR,LPG
Tarik Meziane,PROFESSEUR,BOREA
Cédric Hubas,PROFESSEUR,BOREA
Charlotte Dromard,MAITRE_DE_CONF,BOREA
Cyril Marchand,PROFESSEUR,ISEA
Maximilien Mathian,MAITRE_DE_CONF,ISEA
Kapeliele Gututauava,TECH,ISEA
Cornélia Rumpel,DIR,iEES
Dominique Lamy,PROFESSEUR,iEES
Axel Felbacq,INGE,iEES
Julien Nemery,MAITRE_DE_CONF,IGE
Nicolas Gratiot,DIR,IGE
Roberto Grilli,CR,IGE
Edouard Metzger,PROFESSEUR,LPG
Eric Bénéteau,INGE,LPG
Christophe Proisy,DIR,AMAP
Jean-Luc Maeght,INGE,AMAP
Lucile Lacourte,TECH,AMAP
Sabine Schmidt,DIR,EPOC
Hubert Loisel,PROFESSEUR,LOG
Nguyen An Truong,POSTDOC,IGE
El Hourany Roy,PROFESSEUR,LOG
Matheus Cavalcante,POSTDOC,LPG
Joao Paulo Goncalves Barreira,POSTDOC,LPG
Pierre Anschutz,PROFESSEUR,EPOC
Vona Méléder,PROFESSEUR,ISOMER
Mélanie Raimonet,CR,LEMAR
Florian Cesbron,MAITRE_DE_CONF,LUSAC
Dominique Davoult,PROFESSEUR,AD2M
Fabien Gibert,CR,LMD
Christine Dupuy,PROFESSEUR,LIENSs
Edouard Metzger,PROFESSEUR,LPG
Lionel Denis,PROFESSEUR,LOG
Eric Chaumillon,PROFESSEUR,LIENSs
Aurélia Mouret,MAITRE_DE_CONF,LPG
Nicolas Spilmont,MAITRE_DE_CONF,LOG
Emma Michaud,CR,LEMAR
Johann Lavaud,CR,LEMAR
Régis Gallon,MAITRE_DE_CONF,LUSAC
Aline Migné,MAITRE_DE_CONF,AD2M
Cédric Boulart,CR,LEMAR
Benjamin Amann,POSTDOC,LIENSs
Paul Kanfer,DOC,EPOC
Sabine Schmidt,DIR,EPOC
Bruno Deflandre,MAITRE_DE_CONF,EPOC
Cristina Ribaudo,MAITRE_DE_CONF,EPOC
Céline Charbonnier,INGE,EPOC
Martin Danilo,INGE,EPOC
Dominique Poirier,INGE,EPOC
François Gevaert,MAITRE_DE_CONF,LOG
Nicolas Chevalier,MAITRE_DE_CONF,LOG
Fabienne Goulard,MAITRE_DE_CONF,LOG
Gwendoline DUONG,INGE,LOG
Kentin Plegue,DOC,LOG
Camille Decultot,DOC,LOG
Augustin Debly,DOC,ISOMER
Philippe Rosa,INGE,ISOMER
Hajar Saad El Imanni,POSTDOC,ISOMER
Maxime Daviray,POSTDOC,LUSAC
Vincent LeFouest,PROFESSEUR,LIENSs
Eric Bénéteau,INGE,LPG
Julio Lopez,INGE,LMD
Dimitri Edouart,INGE,LMD
Claire Cénac,INGE,LMD
Aliénor Allain,POSTDOC,CRBE
Lucie Germain,DOC,CRBE
Liudmila Shirokova,MAITRE_DE_CONF,GET
Antoine Séjourné,PROFESSEUR,GEOPS
Maialen Barret,MAITRE_DE_CONF,CRBE
Julien Fouché,MAITRE_DE_CONF,LISAH
Marie  Alexis,MAITRE_DE_CONF,METIS
Samuel Abiven,PROFESSEUR,LG-ENS
Laure Gandois,DIR,CRBE
Christine Delire,CR,CNRM
Bertrand Decharme,CR,CNRM
Xavier Raynaud,PROFESSEUR,iEES
Laurent Orgogozo,MAITRE_DE_CONF,GET
Oleg Pokrovsky,DIR,GET
Ulysse Chabroux,DOC,LG-ENS
Laura Delfranco,ASSIST. INGE,METIS
Julie Leloup,MAITRE_DE_CONF,iEES
Camille Bouchez,CR,Geosciences Rennes
Marc Pessel,MAITRE_DE_CONF,GEOPS
François Baudin,PROFESSEUR,iSTeP
Baptiste EMERY,DOC,GET
Adrien SCAMACCA,DOC,GET
Maryse ROUELLE ,MAITRE_DE_CONF,METIS
Ludwig JARDILLIER,PROFESSEUR,IDEEV
César CIEBIERA,DOC,GEOPS
