Contact,ORCID,Nombre_publis
Anne-Célia Disdier,0000-0002-0014-7091,0.0
Carl Gaigné,0000-0002-1540-234X,46.0
Christophe Gouel,0000-0002-3946-5222,17.0
Marie Plessz,0000-0001-7026-6224,59.0
Céline Bonnet,0000-0002-5355-6489,4.0
Laurent Muller,0000-0001-9634-4323,55.0
Benjamin Ouvrard,0000-0001-8314-0006,0.0
Marc Fleurbaey,0000-0002-5342-8065,7.0
Stéphane Zuber,0000-0002-4111-2397,40.0
Julia Le Noë,0000-0001-8816-5800,46.0
Jean-Marc Limousin,0000-0002-2734-2495,6.0
Jean-Marc Ourcival,0000-0002-3557-3496,2.0
Jean Kempf,0009-0006-2727-6797,0.0
Isabelle Chuine,0000-0003-3308-8785,26.0
Florent Mouillot,0000-0002-6548-4830,91.0
Christian Pichot,0000-0003-1636-9438,9.0
Guillaume Simioni,0009-0008-9218-8966,1.0
Olivier Marloie,0009-0001-9930-7111,0.0
Nicolas Martin Stpaul,,
Maxime Cailleret,0000-0001-6561-1943,47.0
Mathieu Santonja,0000-0002-6322-6352,62.0
Virginie Baldy,0000-0002-4048-5132,62.0
Elena Ormeno,0000-0002-3265-5883,85.0
Ilja Marco Reiter,,
Catherine Fernandez,0000-0002-6868-4774,128.0
Marie-Pierre Turpault,0009-0002-0483-892X,0.0
Paul-Olivier Redon,0000-0001-8734-1489,10.0
Xavier Morin,0000-0001-9999-0355,41.0
Nicolas Delpierre,0000-0003-0906-9402,82.0
Daniel Berveiller,0000-0001-7461-6420,77.0
Christophe Francois,0000-0003-4480-1822,59.0
Ivan Cornut,0000-0002-0043-4234,9.0
Yann Nouvellon,0000-0003-1920-3847,140.0
Guerric Le Maire,0000-0002-5227-958X,145.0
Aude Valade,0000-0001-6098-0643,15.0
Joannès Guillemot,0000-0003-4385-7656,53.0
Jean-Paul Laclau,0000-0002-2506-214X,162.0
Denis Loustau,0000-0003-3990-400X,390.0
Jean-Christophe Domec,0000-0003-0478-2559,165.0
Christophe Chipeaux,0000-0003-0338-8517,20.0
Mark Bakker,0000-0002-5629-2861,160.0
Mathias Cuntz,,
Emilie Joetzjer,0000-0001-6781-1535,18.0
Yann Nouvellon,0000-0003-1920-3847,140.0
Lionel Alletto,0000-0003-0933-9476,104.0
Pascal Jouquet,0000-0002-4189-5133,96.0
Mathilde Sester,0000-0002-2329-9119,47.0
Gilles Tison,0000-0003-4650-6085,0.0
Isabelle Bertrand,0000-0002-5646-0423,15.0
Catherine Henault,0000-0002-1210-2499,71.0
Joël Leonard,0000-0001-9950-9293,9.0
Florent Tivet,0000-0002-1179-8703,34.0
Myriam Adam,0000-0002-8873-6762,101.0
Rémi Cardinael,0000-0002-9924-3269,58.0
Eric Justes,0000-0001-7390-7058,171.0
"Benoit Marie ""ISEM""",0000-0001-5378-3940,63.0
Eric Ceschia,0000-0001-5941-752X,20.0
Benjamin Loubet,0000-0001-8825-8775,266.0
Isabelle Cousin,0000-0002-6238-5757,0.0
Gwenaëlle Lashermes,0000-0002-8269-3562,30.0
François Lebourgeois,0000-0002-2040-6150,146.0
Emmanuel Tillard,0000-0001-7801-2392,0.0
Aurélie Cambou,0000-0002-4661-7466,0.0
Cécile Gomez,0000-0002-2986-430X,95.0
François Baudin,0000-0003-3180-459X,213.0
Frédéric Frappart,0000-0002-4661-8274,276.0
Agnès Grossel,0000-0002-2659-9416,37.0
Bruna Winck,0000-0002-7996-9855,20.0
Israël Kpemoua,0000-0001-6589-4744,10.0
Benjamin Amann,0000-0002-0101-0433,17.0
Camille Bouchez,0000-0002-3094-6070,26.0
Julien Bouchez,0000-0003-4832-1615,0.0
Eric Chaumillon,0000-0003-1823-7834,81.0
Eliot Chatton,0000-0002-8234-1479,14.0
Christine Dupuy,0000-0002-5634-1336,78.0
Yoann Copard,0000-0002-6073-5100,0.0
Camille Crapart,0000-0001-9550-1075,4.0
Sophie Darfeuil,0000-0003-3307-2548,16.0
Clément Fabre,0009-0003-5592-7452,24.0
Laure Gandois,0000-0002-9326-6830,32.0
Josette Garnier,0000-0001-9416-9242,11.0
Sébastien Gogo,0000-0002-0867-497X,46.0
Sophie Guillon,0000-0002-1694-5477,16.0
Adrien Jacotot,0000-0002-0126-7597,27.0
Didier Jezequel,0000-0002-1983-9899,0.0
Line Jourdain,,
Viet Tran-Khac,0009-0009-2450-3925,0.0
Wolfgang Ludwig cefrem,0000-0002-3154-9114,53.0
Jeremy Mayen,0009-0001-9032-7079,0.0
Edouard Metzger,0000-0002-5838-4540,85.0
Jean-Sébastien Moquet,0000-0003-1925-9306,37.0
Julien Nemery,0000-0001-9826-7739,52.0
Pierre Polsenaere,0000-0002-2454-485X,93.0
Cristina Ribaudo,0000-0001-8992-221X,28.0
Philippe Rosa,0000-0001-6621-3445,4.0
Nicolas Savoye,0000-0001-6433-8519,68.0
Vincent Thieu,0000-0002-5753-8624,61.0
