Acronyme PEPR,projet,Type_Data,Libellé structure,Sigle structure,Code RNSR,Code Unité,Tutelles,Domaine scientifique,Discipline ERC,Adresse,Latitude,Longitude
FairCarboN,CANETE,Labo,BioEcoAgro - Unité transfrontalière INRAE,BioEcoAgro,202023591K,UMRT 1158,INRAE / Université de Liège / Université de Lille / Université de Picardie Jules Verne,10-Sciences agronomiques et écologiques / 8-Sciences pour l'ingénieur,"LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
PE8-Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,
LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling",INRAE - LAON - Pôle du Griffon - 180 RUE Pierre-Gilles de Gennes - 02000 BARENTON BUGNY,48.7140958,2.1959595
FairCarboN,CrosyeN,Labo,BioEcoAgro - Unité transfrontalière INRAE,BioEcoAgro,202023591K,UMRT 1158,INRAE / Université de Liège / Université de Lille / Université de Picardie Jules Verne,10-Sciences agronomiques et écologiques / 8-Sciences pour l'ingénieur,"LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
PE8-Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,
LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling",INRAE - LAON - Pôle du Griffon - 180 RUE Pierre-Gilles de Gennes - 02000 BARENTON BUGNY,48.7140958,2.1959595
FairCarboN,CO2_CMPhi,Labo,Bioénergétique et Ingénierie des Protéines,BIP,201220269J,UMR 7281,CNRS / Aix-Marseille Université,"4-Chimie / 5-Biologie, médecine et santé"," - LS8 : Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling
 - LS2 : Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine
 - LS1 : Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling
 - PE4 : Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics
 - PE9 : Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data","31, chemin Joseph Aiguier, 13402 Marseille cedex 9",43.25694,5.40709
FairCarboN,DEEP-C,Labo,Université de Bruxelles Libre,BMES,,Université belge,Université belge,,,Bruxelles,50.8105006,4.3813825
FairCarboN,TROPECOS,Labo,Laboratoire de Biologie des Organismes et des Ecosystèmes Aquatiques,BOREA,200919362L,UMR 8067,CNRS / IRD / MNHM,"10-Sciences agronomiques et écologiques / 5-Biologie, médecine et santé",,"43 rue Cuvier, CP 26 - 75231 Paris Cedex 05, France",48.8449556,2.3574309
FairCarboN,CarboNium,Labo,Laboratoire de Biologie des Organismes et des Ecosystèmes Aquatiques,BOREA,200919362L,UMR 8067,CNRS / IRD / MNHM,"10-Sciences agronomiques et écologiques / 5-Biologie, médecine et santé",,"43 rue Cuvier, CP 26 - 75231 Paris Cedex 05, France",48.8449556,2.3574309
FairCarboN,DEEP-C,Labo,University of Innsbruck ,BOTANY,,Université autrichienne,Université autrichienne,,,"Innrain 52, A-6020 Innsbruck",47.2654296,11.3927685
FairCarboN,CarboNium,Labo,carboflux,CARBOFLUX,,Entreprise partenaire,Entreprise partenaire,,,,46.14175415039063,-1.1513279676437378
FairCarboN,DEEP-C,Labo,Centre Alpin de Recherche sur les Réseaux Trophiques des Ecosystèmes Limniques,CARRTEL,196417921R,UMR 0042,INRAE / USMB,10-Sciences agronomiques et écologiques,,75 avenue de Corzent - 74203 THONON LES BAINS cedex,46.3671765,6.4564939
FairCarboN,CarboNium,Labo,Centre Alpin de Recherche sur les Réseaux Trophiques des Ecosystèmes Limniques,CARRTEL,196417921R,UMR 0042,INRAE / USMB,10-Sciences agronomiques et écologiques,,75 avenue de Corzent - 74203 THONON LES BAINS cedex,46.3671765,6.4564939
FairCarboN,CLIM-FAS,Labo,Centre d'Economie de l'Environnement - Montpellier,CEE-M,201822742W ,UMR 5215,CNRS / Université de Montpellier / INRAE / Institut Agro,10-Sciences agronomiques et écologiques / 7-Sciences de la société / 6-Sciences humaines et humanités,"SH1 : Individuals, Markets and Organisations : Economics, finance, management ;  SH2 : Institutions, Governance and Legal Systems : Political science, international relations, law ; SH3 : The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies",INRAE - Institut Agro bâtiment 26 2 place viala 34060 Montpellier Cedex 2,43.617144,3.8547696
FairCarboN,Drought for C,Labo,Centre d'Ecologie Fonctionnelle et Evolutive,CEFE,200311847U,UMR 5175,INRAE / Institut Agro / Université de Montpellier,"3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques / 6-Sciences humaines et humanités","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",1919 Route de Mende 34293 Montpellier cedex 5 France,43.6384009,3.8648506
FairCarboN,CarboNium,Labo,Centre de Formation et de Recherche sur les Environnements Méditerranéens,CEFREM,199911795E,UMR 5110,CNRS / Université de Perpignan,10-Sciences agronomiques et écologiques,,52 avenue Paul Alduy - 66860 PERPIGNAN Cedex 09 - FRANCE,42.682809,2.901667
FairCarboN,RhizoSeqC,Labo,Centre de recherche et d'enseignement des géosciences de l'Environnement,CEREGE,201220322S,UMR 7330,IRD / CNRS / Université Aix-Marseille / INRAE / Collège de France,"3-Sciences de la terre et de l'univers, espace",,"Technopôle de l’Arbois-Méditerranée
BP80, CEDEX 04
13545 Aix-en-Provence
France",43.4909505,5.3321845
FairCarboN,RIFT,Labo,Centre d'études spatiales de la biosphère,CESBIO,200317531X,UMR 5126,CNES / CNRS / INRAE,"9-Sciences et technologies de l'information et de la communication / 3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques",,18 avenue Edouard Belin 31401 TOULOUSE CEDEX 9,43.5618099,1.4817304
FairCarboN,ALAMOD,Labo,Centre d'études spatiales de la biosphère,CESBIO,200317531X,UMR 5126,CNES / CNRS / INRAE,"9-Sciences et technologies de l'information et de la communication / 3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques",,18 avenue Edouard Belin 31401 TOULOUSE CEDEX 9,43.5618099,1.4817304
FairCarboN,PREFALIM,Labo,Centre Maurice Halbwachs,CMH,200012756V,UMR 8097,ENS / EHESS / CNRS / INRAE,7-Sciences de la société,,"48 boulevard Jourdan
75014 PARIS ",48.8222725,2.3308584
FairCarboN,SLAM-B,Labo,Centre national de recherches météorologiques,CNRM,201320566C,UMR 3589,CNRS / Météo France,"3-Sciences de la terre et de l'univers, espace",,Avenue Gaspard Coriolis 31057 TOULOUSE,43.5775774,1.3753268
FairCarboN,PEACE,Labo,Centre national de recherches météorologiques,CNRM,201320566C,UMR 3589,CNRS / Météo France,"3-Sciences de la terre et de l'univers, espace",,Avenue Gaspard Coriolis 31057 TOULOUSE,43.5775774,1.3753268
FairCarboN,PEACE,Labo,Centre de Recherche sur la Biodiversité et l'Environnement,CRBE,202424488T,UMR 5300,CNRS / IRD / INP TOULOUSE / Université de Toulouse,10-Sciences agronomiques et écologiques,,118 route de Narbonne - 31062 TOULOUSE CEDEX 9,43.5616165,1.4629966
FairCarboN,CarboNium,Labo,Centre de Recherche sur la Biodiversité et l'Environnement,CRBE,202424488T,UMR 5300,CNRS / IRD / INP TOULOUSE / Université de Toulouse,10-Sciences agronomiques et écologiques,,118 route de Narbonne - 31062 TOULOUSE CEDEX 9,43.5616165,1.4629966
FairCarboN,CLIM-FAS,Labo,Centre de recherches juridiques,CRJ,199513658X,EA 1965,Université Grenoble Alpes,7-Sciences de la société,"SH2 : Institutions, Governance and Legal Systems : Political science, international relations, law",Faculté de droit BP47 38040 Grenoble Cedex 9,45.16667,5.71667
